place,beckey,year
Whitney Portal,0,1963
Whitney Portal,1,1968
Whitney Portal,0,1969
Whitney Portal,0,1972
Whitney Portal,0,1972
Whitney Portal,0,1972
Whitney Portal,0,1977
Whitney Portal,0,1979
Whitney Portal,0,1979
Whitney Portal,0,1980
Whitney Portal,0,1984
Whitney Portal,0,1985
Whitney Portal,0,1996
Whitney Portal,0,2002
Whitney Portal,0,2013
Whitney Portal,0,2014
Whitney Portal,0,2014
Wind River Range,0,2016
Wind River Range,0,2016
Wind River Range,0,2015
Wind River Range,0,2015
Wind River Range,0,2015
Wind River Range,0,2015
Wind River Range,0,2015
Wind River Range,0,2014
Wind River Range,0,2014
Wind River Range,0,2014
Wind River Range,0,2014
Wind River Range,0,2014
Wind River Range,0,2014
Wind River Range,0,2014
Wind River Range,0,2013
Wind River Range,0,2013
Wind River Range,0,2012
Wind River Range,0,2011
Wind River Range,0,2006
Wind River Range,0,2006
Wind River Range,0,2002
Wind River Range,0,2002
Wind River Range,0,2000
Wind River Range,0,1999
Wind River Range,0,1999
Wind River Range,0,1999
Wind River Range,0,1999
Wind River Range,0,1998
Wind River Range,0,1998
Wind River Range,0,1996
Wind River Range,0,1996
Wind River Range,0,1995
Wind River Range,0,1995
Wind River Range,0,1994
Wind River Range,0,1993
Wind River Range,0,1993
Wind River Range,0,1992
Wind River Range,0,1992
Wind River Range,0,1992
Wind River Range,0,1991
Wind River Range,0,1991
Wind River Range,0,1991
Wind River Range,0,1991
Wind River Range,0,1991
Wind River Range,0,1991
Wind River Range,0,1990
Wind River Range,0,1989
Wind River Range,0,1988
Wind River Range,0,1987
Wind River Range,0,1986
Wind River Range,0,1986
Wind River Range,0,1985
Wind River Range,0,1985
Wind River Range,0,1985
Wind River Range,0,1985
Wind River Range,0,1985
Wind River Range,0,1984
Wind River Range,0,1984
Wind River Range,0,1984
Wind River Range,0,1982
Wind River Range,0,1982
Wind River Range,0,1982
Wind River Range,0,1981
Wind River Range,0,1981
Wind River Range,0,1981
Wind River Range,0,1981
Wind River Range,0,1981
Wind River Range,0,1980
Wind River Range,0,1979
Wind River Range,0,1979
Wind River Range,0,1979
Wind River Range,0,1979
Wind River Range,0,1979
Wind River Range,0,1978
Wind River Range,0,1978
Wind River Range,0,1978
Wind River Range,0,1978
Wind River Range,0,1977
Wind River Range,0,1977
Wind River Range,0,1977
Wind River Range,0,1976
Wind River Range,0,1976
Wind River Range,0,1976
Wind River Range,0,1976
Wind River Range,0,1975
Wind River Range,0,1975
Wind River Range,0,1975
Wind River Range,0,1975
Wind River Range,0,1975
Wind River Range,0,1974
Wind River Range,0,1974
Wind River Range,0,1973
Wind River Range,0,1973
Wind River Range,0,1973
Wind River Range,0,1973
Wind River Range,0,1972
Wind River Range,0,1972
Wind River Range,0,1972
Wind River Range,0,1972
Wind River Range,0,1972
Wind River Range,0,1972
Wind River Range,0,1971
Wind River Range,0,1971
Wind River Range,0,1971
Wind River Range,0,1971
Wind River Range,0,1971
Wind River Range,0,1971
Wind River Range,0,1971
Wind River Range,0,1971
Wind River Range,0,1971
Wind River Range,0,1971
Wind River Range,0,1970
Wind River Range,0,1970
Wind River Range,0,1970
Wind River Range,0,1970
Wind River Range,0,1969
Wind River Range,0,1969
Wind River Range,0,1969
Wind River Range,0,1968
Wind River Range,0,1968
Wind River Range,0,1968
Wind River Range,0,1967
Wind River Range,0,1967
Wind River Range,0,1967
Wind River Range,0,1967
Wind River Range,0,1966
Wind River Range,0,1966
Wind River Range,0,1965
Wind River Range,0,1965
Wind River Range,0,1965
Wind River Range,0,1965
Wind River Range,0,1965
Wind River Range,0,1965
