lat,link,lng,search_string,year
49.0255979,http://publications.americanalpineclub.org/articles/12195354001/North-America-Climbs-along-the-Canadian-Boundary,-121.6270496,Slesse Peak,1953
47.5415125,http://publications.americanalpineclub.org/articles/12196012004/North-America-United-States-Washington-Cascades-Dinosaur-Tower-Peshastin-Pinnacles,-120.5206379,"Washington, Peshastin Pinnacles",1960
47.5295651,http://publications.americanalpineclub.org/articles/12196136803/North-America-United-States-WashingtonCascades-Snow-Creek-Wall,-120.718698,"Washington, Snow Creek Wall",1961
45.8230494,http://publications.americanalpineclub.org/articles/12196417501/North-America-United-States-WashingtonCascade-Mountains-Winter-Climbs,-121.8522443,"Washington, Cascade Mountains",1964
36.768444,http://publications.americanalpineclub.org/articles/12197644703/Bubbs-Creek-Wall,-118.5108482,Bubbs Creek,1976
35.8245257,http://publications.americanalpineclub.org/articles/12197852503/North-America-United-States-California-Sierra-Nevada-Domeland-North-Portion-of-White-Dome,-118.3843868,Domeland Wilderness,1978
38.0449208,http://publications.americanalpineclub.org/articles/12198519302/North-America-United-States-CaliforniaSierra-Nevada-Quarry-Peak-New-Route,-119.419052,"California, Quarry Peak",1985
43.1835193,http://publications.americanalpineclub.org/articles/12198814303/North-America-United-States-Wyoming-Green-River-Pyramid-Wind-River-Range-1986,-109.6526115,"Wyoming, Wind River Range",1988
36.7141787,http://publications.americanalpineclub.org/articles/12199919101/North-America-United-States-Arizona-Lost-Coyote-Tower-Ascent,-109.6637648,Rock Point Arizona,1999
42.9541268,http://publications.americanalpineclub.org/articles/12199413602/North-America-United-States-Washington-Belltower-Point,-108.4901086,Popo Agie River,1994
36.714178,http://publications.americanalpineclub.org/articles/12199715501/North-America-United-States-Utah-Navajolands,-109.663679,,1997
48.5236854,http://publications.americanalpineclub.org/articles/12195612102/North-America-United-States-Washington-New-Ascents-in-the-Cascade-Range,-120.6633211,Washington Pass,1956
48.4095502,http://publications.americanalpineclub.org/articles/12196011902/North-America-United-States-Washington-Cascades-Mount-Temple-East-Face,-121.7917956,"Washington, Razorback",1960
47.5845656,http://publications.americanalpineclub.org/articles/12196011904/North-America-United-States-Washington-Cascades-West-Tumwater-Rock-Tumwater-Canyon,-120.6784209,"Washington, Tumwater Canyon",1960
47.5415125,http://publications.americanalpineclub.org/articles/12196012003/North-America-United-States-Washington-Cascades-Grand-Central-Tower-Peshastin-Pinnacles,-120.5206379,"Washington, Peshastin Pinnacles",1960
47.7792984,http://publications.americanalpineclub.org/articles/12196012101/North-America-United-States-Washington-Cascades-Baring-North-Face,-121.453212,"Washington, Mount Baring",1960
45.8230494,http://publications.americanalpineclub.org/articles/12196417302/North-America-United-States-WashingtonCascade-Mountains-Chumstick-Snag,-121.8522443,"Washington, Cascade Mountains",1964
54,http://publications.americanalpineclub.org/articles/12196615602/North-America-Canada-Coast-Range-Nightmare-Rock-Traumatic-Experience-Route,-128,"Canada, Coast Range",1966
44.4112417,http://publications.americanalpineclub.org/articles/12196735301/North-America-United-States-OregonCascade-Mountains-Steins-Pillar,-120.6202973,"Oregon, Stein's Pillar",1967
49.7567833,http://publications.americanalpineclub.org/articles/12196736801/North-America-Canada-British-Columbia-Mushroom-Route-Papoose-Rock,-123.315618,Squamish,1967
37.4149431,http://publications.americanalpineclub.org/articles/12197644704/North-America-United-States-California-Sierra-Nevada-Fuller-Butte-Northeast-Face-White-Dike-Route,-119.2837376,"California, Fuller Butte",1976
51.8994444,http://publications.americanalpineclub.org/articles/12197854901/North-America-Canada-British-Columbia-Coast-Range-Mount-Monarch-South-Buttress,-125.8761111,"Canada, Mount Monarch",1978
37.0838567,http://publications.americanalpineclub.org/articles/12198315303/North-America-United-States-CaliforniaSierra-Nevada-Penstemon-Dome,-119.0934517,Courtright Resevoir,1983
49.6510689,http://publications.americanalpineclub.org/articles/12198814703/North-America-Canada-British-Columbia-Gemse-Peak-Anderson-River-Group-British-Columbia-Cascade-Range-1986,-121.2374311,Gemse Peak,1988
49.9166667,http://publications.americanalpineclub.org/articles/12198814802/North-America-Canada-Interior-Ranges-Trinity-Spire-Purcell-Range-1986,-116.25,"Canada, Purcell Range",1988
50,http://publications.americanalpineclub.org/articles/12199018002/Canada-Selkirks-Gimli-Valhalla-Group-1988,-117,"Canada, Selkirks",1990
50.9869444,http://publications.americanalpineclub.org/articles/12199018003/Canada-Selkirks-Ahab-1986,-117.3986111,"Canada, Ahab",1990
52.6683333,http://publications.americanalpineclub.org/articles/12199214604/North-America-Canada-Canadian-Rockies-Edith-Cavell-North-Face-Solo,-118.0566666,"Canada, Edith Cavell",1992
38.4744071,http://publications.americanalpineclub.org/articles/12197136801/North-America-United-States-Utah-Zeus-Tower-Moab,-109.9357694,"Utah, Zeus Tower",1971
47.4788847,http://publications.americanalpineclub.org/articles/12197211402/North-America-United-States-WashingtonCascade-Mountains-Dragontail,-120.8331942,"Washington, Dragontail",1972
36.9077777,http://publications.americanalpineclub.org/articles/12197212001/North-America-United-States-CaliforniaSierra-Nevada-The-Obelisk-West-Face,-118.8538888,"California, The Obelisk",1972
38.145003,http://publications.americanalpineclub.org/articles/12197414502/North-America-United-States-California-Sierra-Nevada-Horse-Creek-Tower,-119.3861453,,1974
36.9812039,http://publications.americanalpineclub.org/articles/12197414902/North-America-United-States-Arizona-Jacobs-Ladder-Monument-Valley,-110.2641869,"Monument Valley, AZ",1974
43.1835193,http://publications.americanalpineclub.org/articles/12197513600/North-America-United-States-WyomingWind-River-Range-P-11793-Twenty-Lakes-Wall,-109.6526115,"Wyoming, Wind River Range",1975
48.3481767,http://publications.americanalpineclub.org/articles/12194743603/North-America-United-States-Washington-Golden-Horn-First-Ascent,-120.211969,Methow River,1947
62.9666667,http://publications.americanalpineclub.org/articles/12195809201/North-America-United-States-Alaska-Mooses-Tooth-Mount-Huntington-and-Mount-Barrille,-150.7183333,"Alaska, and Mount Barrille",1958
48.7766868,http://publications.americanalpineclub.org/articles/12195930501/North-America-United-States-Washington-Coleman-Glacier-Face-Mount-Baker,-121.8144142,"Washington, Mount Baker",1959
47.5845656,http://publications.americanalpineclub.org/articles/12196012001/North-America-United-States-Washington-Cascades-Midnight-Rock-Tumwater-Canyon,-120.6784209,"Washington, Tumwater Canyon",1960
47.5845656,http://publications.americanalpineclub.org/articles/12196012002/North-America-United-States-Washington-Cascades-Rattlesnake-Rock-Tumwater-Canyon,-120.6784209,"Washington, Tumwater Canyon",1960
44.2960569,http://publications.americanalpineclub.org/articles/12196012503/North-America-United-States-Wyoming-Table-Mountain-Central-East-Buttress,-110.055465,"Wyoming, Table Mountain",1960
43.746875,http://publications.americanalpineclub.org/articles/12196012601/North-America-United-States-Wyoming-Mount-Owen-Crescent-Arte,-110.7974362,"Wyoming, Mount Owen",1960
44.1010172,http://publications.americanalpineclub.org/articles/12196221401/North-America-United-States-Idaho-Mount-Heyburn-Winter-Ascent,-114.9761938,"Idaho, Mount Heyburn",1962
48.6286111,http://publications.americanalpineclub.org/articles/12196347202/North-America-United-States-Washington-Cascade-Mountains-The-Monument-Cashmere-Crags,-121.8313888,"Washington, The Monument",1963
47.5415125,http://publications.americanalpineclub.org/articles/12196347302/North-America-United-States-Washington-Cascade-Mountains-Grand-Central-Tower-Peshastin-Pinnacles,-120.5206379,"Washington, Peshastin Pinnacles",1963
43.1835193,http://publications.americanalpineclub.org/articles/12196419302/North-America-United-States-WyomingWind-Rivers-Baptiste-Lake-Tower,-109.6526115,"Wyoming, Wind Rivers",1964
45.8230494,http://publications.americanalpineclub.org/articles/12196540803/North-America-United-States-Washington-Cascade-Mountains-Midnight-Rock-South-Ramp,-121.8522443,"Washington, Cascade Mountains",1965
45.8230494,http://publications.americanalpineclub.org/articles/12196613001/North-America-United-States-WashingtonCascade-Mountains-Winter-Ascents,-121.8522443,"Washington, Cascade Mountains",1966
51.1561111,http://publications.americanalpineclub.org/articles/12196616001/North-America-Canada-Canadian-Rockies-Mount-Ball-Northeast-Buttress,-116.0063888,"Canada, Mount Ball",1966
48.5122222,http://publications.americanalpineclub.org/articles/12196735003/North-America-United-States-WashingtonCascade-Mountains-Early-Winter-Spires-South-Spire-West-Face,-120.6552777,"Washington, Early Winter Spires",1967
46.8681355,http://publications.americanalpineclub.org/articles/12196735201/North-America-United-States-WashingtonCascade-Mountains-The-Temple-Methow-Range-Northeast-Face,-121.7917956,"Washington, Northeast Face",1967
48.6281152,http://publications.americanalpineclub.org/articles/12196735302/North-America-United-States-Idaho-Chimney-Rock-South-Nose,-116.5934537,"Idaho, South Nose",1967
51.3625,http://publications.americanalpineclub.org/articles/12196737202/North-America-Canada-Canadian-Rockies-Mount-Lefroy-First-Winter-Ascent,-116.2797222,"Canada, Mount Lefroy",1967
37.2838705,http://publications.americanalpineclub.org/articles/12196815401/North-America-United-States-Utah-The-Pulpit-Zion-National-Park,-112.9474405,"Utah, The Pulpit",1968
36.5885514,http://publications.americanalpineclub.org/articles/12196939102/North-America-United-States-California-Sierra-Nevada-Premiere-Buttress,-118.2377882,Whitney Portal,1969
38.145003,http://publications.americanalpineclub.org/articles/12197414502/North-America-United-States-California-Sierra-Nevada-Horse-Creek-Tower,-119.3861453,,1969
43.9939484,http://publications.americanalpineclub.org/articles/12196940303/North-America-United-States-Wyoming-Black-Hills-Devils-Tower,-103.7717686,"Wyoming, Black Hills",1969
37.8771632,http://publications.americanalpineclub.org/articles/12197644706/North-America-United-States-California-Sierra-Nevada-Sunrise-Wall,-119.3864336,Tuolumne Meadows,1976
37.3060451,http://publications.americanalpineclub.org/articles/12197644802/North-America-United-States-California-Sierra-Nevada-Four-Gables-North-Peak-via-East-Face,-118.6953943,"California, Four Gables",1976
36.9525256,http://publications.americanalpineclub.org/articles/12197644803/North-America-United-States-California-Sierra-Nevada-Spring-Lake-Wall,-118.682731,,1976
36.9469444,http://publications.americanalpineclub.org/articles/12197644901/North-America-United-States-California-Sierra-Nevada-Kettle-Dome-West-Face,-118.7858333,"California, Kettle Dome",1976
36.2721848,http://publications.americanalpineclub.org/articles/12197645201/North-America-United-States-Nevada-Rainbow-Mountain-Mount-Charleston-Solar-Plexus-Route,-115.6950191,"Nevada, Rainbow Mountain (Mount Charleston)",1976
43.3243962,http://publications.americanalpineclub.org/articles/12197645602/North-America-United-States-Wyoming-Wind-River-Range-Spider-Peak-Northeast-Buttress,-109.6512637,"Wyoming, Spider Peak",1976
42.4855124,http://publications.americanalpineclub.org/articles/12197645603/North-America-United-States-Wyoming-Wind-River-Range-Arrowhead-Mountain-North-Face,-107.5700708,"Wyoming, North Face",1976
32.24491,http://publications.americanalpineclub.org/articles/12197647602/North-America-Mexico-Baja-California-Gran-Trono-Blanco,-115.91389,,1976
38.2245184,http://publications.americanalpineclub.org/articles/12197717704/North-America-United-States-California-Sierra-Nevada-Middle-Tooth-West-Face-Three-Teeth,-119.6616699,Sierra Nevada Range,1977
36.5232685,http://publications.americanalpineclub.org/articles/12197852501/North-America-United-States-California-Sierra-Nevada-Mount-Langley-East-Face-of-Southeast-Peak,-118.2389774,"California, Mount Langley",1978
37.3774729,http://publications.americanalpineclub.org/articles/12198214902/North-America-United-States-California-Sierra-Nevada-South-Eagle-Beak-Beagle-Creeks,-119.3977025,Shuteye,1982
59.1916667,http://publications.americanalpineclub.org/articles/12198315201/North-America-United-States-Alaska-Mount-Emmerich,-135.6994444,"Alaska, Mount Emmerich",1983
54,http://publications.americanalpineclub.org/articles/12198419002/North-America-Canada-Mount-Dentiform-East-Buttress-Coast-Range,-128,"Canada, Coast Range",1984
48.1620736,http://publications.americanalpineclub.org/articles/12198419004/North-America-Canada-Mount-Fernow-North-Face-Variation,-120.808155,"Canada, Mount Fernow",1984
